asin,title,author,cover_url,publish_date,found
0578141809,Bang,E.K. Blair,https://covers.openlibrary.org/b/id/11143264-M.jpg,"May 09, 2014",True
0615429505,Captive In The Dark,CJ Roberts,https://covers.openlibrary.org/b/id/7627871-M.jpg,2011,True
0615581927,Reason to Breathe: The Breathing Series (Volume 1),Rebecca Donovan,https://covers.openlibrary.org/b/id/8477132-M.jpg,"Jun 16, 2012",True
0615608868,Consequences,Aleatha Romig,https://covers.openlibrary.org/b/id/10092654-M.jpg,2012,True
0615680046,,,,,False
061568677X,,,,,False
0615694403,Collide,H.M. Ward,,"Sep 03, 2012",True
0615741932,In Flight (Up In The Air) (Volume 1),R. K. Lilley,https://covers.openlibrary.org/b/id/8477175-M.jpg,"Jan 18, 2013",True
0615748996,,,,,False
0615752179,Mile High,R. K. Lilley,https://covers.openlibrary.org/b/id/13015137-M.jpg,2013,True
0615757375,,,,,False
0615764037,Rock chick,alexa riley,https://covers.openlibrary.org/b/id/12640852-M.jpg,2013,True
061576567X,Grounded,R. K. Lilley,https://covers.openlibrary.org/b/id/12934568-M.jpg,2013,True
0615766412,Raid,alexa riley,,2013,True
061577041X,Rock Chick (Volume 1),alexa riley,https://covers.openlibrary.org/b/id/8477179-M.jpg,"Apr 01, 2013",True
0615771106,Torn,K. A. Robinson,https://covers.openlibrary.org/b/id/12828081-M.jpg,2013,True
0615774237,Renegade,alexa riley,,2013,True
0615782140,Revenge,alexa riley,,2013,True
0615785824,,,,,False
0615788084,My Everything,Heidi McLaughlin,https://covers.openlibrary.org/b/id/14499281-M.jpg,2013-07-01,True
0615789684,,,,,False
061579615X,Damaged,H.M. Ward,https://covers.openlibrary.org/b/id/11972823-M.jpg,"Apr 07, 2013",True
0615796982,,,,,False
0615803830,Knight,alexa riley,https://covers.openlibrary.org/b/id/10476392-M.jpg,"Apr 15, 2013",True
0615803873,Creed,alexa riley,https://covers.openlibrary.org/b/id/14802021-M.jpg,2013,True
0615810756,Surrender,Melody Anne,https://covers.openlibrary.org/b/id/14522980-M.jpg,"Apr 29, 2013",True
0615822762,Bad Things,R. K. Lilley,https://covers.openlibrary.org/b/id/8941701-M.jpg,2013,True
0615822886,Lana,R. K. Lilley,,2013,True
0615822991,Submit (Surrender) (Volume 2),Melody Anne,https://covers.openlibrary.org/b/id/8477189-M.jpg,"May 22, 2013",True
0615826814,Damaged 2,H. M. Ward,https://covers.openlibrary.org/b/id/12814187-M.jpg,2013,True
0615827446,The arrangement,H. M. Ward,https://covers.openlibrary.org/b/id/12488673-M.jpg,2013,True
0615827500,The arrangement,H. M. Ward,https://covers.openlibrary.org/b/id/12973785-M.jpg,2013,True
0615827837,The arrangement,H. M. Ward,https://covers.openlibrary.org/b/id/12488138-M.jpg,2013,True
0615836968,Saving Us,Jennifer Foor,,2013-03-21,True
061583860X,,,,,False
0615840841,Rock Chick Revolution,alexa riley,https://covers.openlibrary.org/b/id/12539705-M.jpg,"Aug 13, 2013",True
0615845517,Seduced - Book Three - Surrender Series (Volume 3),Melody Anne,https://covers.openlibrary.org/b/id/8477196-M.jpg,"Sep 02, 2013",True
0615849601,Stripped,H. M. Ward,https://covers.openlibrary.org/b/id/12936719-M.jpg,2013,True
0615857272,,,,,False
0615859763,The arrangement,H. M. Ward,https://covers.openlibrary.org/b/id/12811086-M.jpg,2013,True
0615860788,The arrangement,H. M. Ward,https://covers.openlibrary.org/b/id/12487976-M.jpg,2013,True
0615860826,The Arrangement 8,H. M. Ward,,2013-08-01,True
0615861326,The arrangement,H. M. Ward,https://covers.openlibrary.org/b/id/12856922-M.jpg,2013,True
0615868401,Only for You,Genna Rulon,,2013-09-24,True
0615885438,,,,,False
0615887767,Found in you,Laurelin Paige,,2013,True
061589285X,The arrangement,H. M. Ward,https://covers.openlibrary.org/b/id/10730559-M.jpg,2013,True
0615894666,Scorched - Book Four - The Surrender Series,Melody Anne,,"Nov 11, 2013",True
0615900305,Razer's Ride,Jamie Begley,https://covers.openlibrary.org/b/id/8940575-M.jpg,"Jun 10, 2013",True
0615910521,The Arrangement 11,H.M. Ward,https://covers.openlibrary.org/b/id/14441482-M.jpg,2013-11-06,True
0615911684,Ride,J. C. Emery,,2013-10-26,True
0615913970,Ignite,Tessa Teevan,https://covers.openlibrary.org/b/id/8941644-M.jpg,"Oct 29, 2013",True
0615928854,Pieces for You,Genna Rulon,,2013-12-,True
0615974171,Thrash,JC Emery,,2014-01-09,True
0692208879,The Will,alexa riley,https://covers.openlibrary.org/b/id/10315408-M.jpg,"May 17, 2014",True
0692221506,,,,,False
0751552615,Redemption Of Callie And Kayden The,Jessica Sorensen,https://covers.openlibrary.org/b/id/7663474-M.jpg,2014,True
0778313530,Siren,Tiffany Reisz,,2012,True
0778315703,Mistress,Tiffany Reisz,,2013,True
0778316173,Always On My Mind,Bella Andre,https://covers.openlibrary.org/b/id/11587640-M.jpg,2014,True
0804176663,Wanted,Julie Kenner,https://covers.openlibrary.org/b/id/8002440-M.jpg,2014,True
0804176787,One Week Girlfriend,Monica Murphy,https://covers.openlibrary.org/b/id/7945344-M.jpg,2013,True
0804176809,Three broken promises,Monica Murphy,,2013,True
0804176825,Four years later,Monica Murphy,https://covers.openlibrary.org/b/id/10217240-M.jpg,2014,True
0957496168,Dangerous to Know & Love,Jane Harvey-Berrick,https://covers.openlibrary.org/b/id/11093771-M.jpg,"Jan 23, 2014",True
0957680368,Sizzle,Lexi Buchanan,https://covers.openlibrary.org/b/id/14518256-M.jpg,2013,True
0981943667,Comfort Food,Kitty Thomas,https://covers.openlibrary.org/b/id/10719189-M.jpg,"Oct 31, 2010",True
0983157200,"HalfBlood
            
                Covenant",Jennifer L. Armentrout,https://covers.openlibrary.org/b/id/7751310-M.jpg,2011,True
0983212546,Playing for Keeps,R. L. Mathewson,https://covers.openlibrary.org/b/id/10107887-M.jpg,"Apr 29, 2011",True
0983593167,,,,,False
0983706352,Masters of the Shadowlands,Cherise Sinclair,https://covers.openlibrary.org/b/id/11943198-M.jpg,"Feb 06, 2013",True
0984887873,Strings,Kendall Grey,https://covers.openlibrary.org/b/id/11172173-M.jpg,"May 27, 2013",True
098488789X,Beats,Kendall Grey,https://covers.openlibrary.org/b/id/11172188-M.jpg,"Oct 13, 2013",True
0985008628,That Boy,Jillian Dodd,https://covers.openlibrary.org/b/id/13570490-M.jpg,"Jul 25, 2012",True
0985008660,,,,,False
0985008687,Kiss Me,Jillian Dodd,,2012-11-,True
0985059133,Conviction,Nicole Edwards,https://covers.openlibrary.org/b/id/11216872-M.jpg,"Nov 10, 2012",True
0985059141,Temptation,Nicole Edwards,https://covers.openlibrary.org/b/id/11970074-M.jpg,"Nov 13, 2012",True
098505915X,Addicted,Nicole Edwards,,2012,True
0985059168,Seduction,Nicole Edwards,https://covers.openlibrary.org/b/id/12708692-M.jpg,2012,True
0985059176,Kaleb,Nicole Edwards,https://covers.openlibrary.org/b/id/10215851-M.jpg,"Jan 14, 2013",True
0985817003,If I Were You,Lisa Renée Jones,,2012,True
0985817089,,,,,False
0985817097,Infinite Possibilities (The Secret Life of Amy Bensen #2),Lisa Renee Jones,https://covers.openlibrary.org/b/id/7267874-M.jpg,November 11th 2013,True
0985872586,,,,,False
0987526111,,,,,False
0987526154,Fighting Redemption,Kate McCarthy,https://covers.openlibrary.org/b/id/12371099-M.jpg,"Nov 20, 2013",True
0988264269,,,,,False
0988273608,,,,,False
0988273632,A Song for Julia,Charles Sheehan-Miles,,2012-12-15,True
0988273683,Last hour,Charles Sheehan-Miles,https://covers.openlibrary.org/b/id/11796778-M.jpg,2013,True
0988301318,Fallen Too Far,Abbi Glines,,"May,17, 2011",True
0988348268,Jane's melody,Ryan Winfield,https://covers.openlibrary.org/b/id/13403993-M.jpg,2013,True
0988489112,Truth;Consequences,Aleatha Romig,https://covers.openlibrary.org/b/id/11098468-M.jpg,"Oct 30, 2012",True
0988489171,Convicted,Aleatha Romig,https://covers.openlibrary.org/b/id/8742448-M.jpg,2013,True
0988489198,Behind His Eyes - Consequences,Aleatha Romig,,2014-01-14,True
0988695103,Forever My Girl,Heidi McLaughlin,https://covers.openlibrary.org/b/id/11619505-M.jpg,"Dec 26, 2012",True
0988695111,,,,,False
098869512X,Love Me,Jillian Dodd,,2013-08-11,True
098870742X,Wanted,Kelly Elliott,https://covers.openlibrary.org/b/id/12072724-M.jpg,"Dec 28, 2012",True
0988707470,,,,,False
0988707489,Broken,Kelly Elliott,https://covers.openlibrary.org/b/id/12188870-M.jpg,2013,True
0988715805,,,,,False
098871583X,Arouse,Nina Lane,https://covers.openlibrary.org/b/id/12135633-M.jpg,2013,True
0988715880,Awaken,Nina Lane,,2014-01-06,True
0988742942,"Tall, Tatted and Tempting",Tammy Falkner,https://covers.openlibrary.org/b/id/14657317-M.jpg,2013-06-17,True
0988771373,Him,,,,True
098877139X,,,,,False
